POSTCODE	POSTCODE_EIND	AANSLUITINGEN_AANTAL	PRODUCTSOORT	SJA_TOTAAL	SJA_GEMIDDELD	POSTCODE_AANTAL
1011TW	1011TW	17	GAS	20807	1223,94	1
1011TX	1011TX	37	ELK	78754	2128,49	1
1011TX	1011TX	31	GAS	24367	786,03	1
1011TZ	1011TZ	85	ELK	146347	1721,73	1
1011TZ	1011TZ	76	GAS	56296	740,74	1
1011VA	1011VA	15	ELK	107453	7163,53	1
1011VA	1011VA	12	GAS	10389	865,75	1
1011VB	1011VC	15	ELK	24640	1642,67	2
1011VB	1011VC	12	GAS	4981	415,08	2
1011VD	1011VE	11	ELK	11118	1010,73	2
1011VD	1011VG	11	GAS	177	16,09	3
1011VG	1011VH	11	ELK	13816	1256,00	2
1011VH	1011VJ	10	GAS	22815	2281,50	2
1011VJ	1011VK	57	ELK	118687	2082,23	2
1011VK	1011VK	44	GAS	34109	775,20	1
1011VL	1011VL	45	ELK	107620	2391,56	1
1011VL	1011VL	39	GAS	52481	1345,67	1
1011VM	1011VM	35	ELK	118153	3375,80	1
1011VM	1011VM	31	GAS	45174	1457,23	1
1011VP	1011VP	42	ELK	80212	1909,81	1
1011VP	1011VP	36	GAS	32988	916,33	1
1011VR	1011VR	11	ELK	12010	1091,82	1
1011VR	1011VR	10	GAS	5665	566,50	1
1011VS	1011VS	22	ELK	28797	1308,95	1
1011VS	1011VS	21	GAS	18476	879,81	1
1011VX	1011WB	42	ELK	81204	1933,43	3
1011VX	1011WB	34	GAS	69433	2042,15	2
1011WC	1011WC	45	ELK	80901	1797,80	1
1011WC	1011WC	44	GAS	34218	777,68	1
1011WD	1011WD	34	ELK	55732	1639,18	1
1011WD	1011WD	34	GAS	31853	936,85	1
1011XA	1011XA	12	ELK	15127	1260,58	1
1011XA	1011XA	12	GAS	10034	836,17	1
1012AA	1012AB	66	ELK	536481	8128,50	2
1012AB	1012AE	36	GAS	169248	4701,33	4
1012AC	1012AC	14	ELK	416417	29744,07	1
1012AD	1012AE	45	ELK	358303	7962,29	2
1012AG	1012AG	10	ELK	81153	8115,30	1
1012AG	1012AH	17	GAS	29600	1741,18	2
1012AH	1012AH	14	ELK	140619	10044,21	1
1012AJ	1012AK	28	ELK	125066	4466,64	2
1012AJ	1012AK	28	GAS	25280	902,86	2
1012AL	1012AL	52	ELK	308319	5929,21	1
1012AL	1012AL	42	GAS	90309	2150,21	1
1012AN	1012AP	15	ELK	220715	14714,33	2
1012AN	1012AR	38	GAS	58501	1539,50	3
1012AR	1012AR	35	ELK	274940	7855,43	1
1012AS	1012AS	36	ELK	168072	4668,67	1
1012AS	1012AS	27	GAS	44804	1659,41	1
1012AT	1012AT	18	ELK	140757	7819,83	1
1012AT	1012AT	14	GAS	11845	846,07	1
1012AV	1012AV	26	ELK	255123	9812,42	1
1012AV	1012AV	23	GAS	158639	6897,35	1
1012AW	1012AW	20	ELK	239187	11959,35	1
1012AW	1012AW	17	GAS	36295	2135,00	1
1012AX	1012AX	14	ELK	155028	11073,43	1
1012AX	1012AX	11	GAS	11603	1054,82	1
1012AZ	1012AZ	64	ELK	337885	5279,45	1
1012AZ	1012AZ	52	GAS	42541	818,10	1
1012BA	1012BA	71	ELK	399141	5621,70	1
1012BA	1012BA	56	GAS	92699	1655,34	1
1012BB	1012BB	36	ELK	415307	11536,31	1
1012BB	1012BB	21	GAS	93822	4467,71	1
1012BC	1012BC	28	ELK	239481	8552,89	1
1012BC	1012BC	20	GAS	31560	1578,00	1
1012BD	1012BD	15	ELK	68145	4543,00	1
1012BD	1012BD	13	GAS	12981	998,54	1
1012BE	1012BE	10	ELK	41331	4133,10	1
1012BE	1012BG	33	GAS	52214	1582,24	2
1012BG	1012BG	29	ELK	146626	5056,07	1
1012BH	1012BH	23	ELK	105927	4605,52	1
1012BH	1012BH	19	GAS	33263	1750,68	1
1012BJ	1012BJ	31	ELK	45805	1477,58	1
1012BJ	1012BJ	26	GAS	25964	998,62	1
1012BK	1012BK	16	ELK	35997	2249,81	1
1012BK	1012BK	16	GAS	16357	1022,31	1
1012BL	1012BL	18	ELK	34489	1916,06	1
1012BL	1012BL	16	GAS	19943	1246,44	1
1012BM	1012BM	41	ELK	172141	4198,56	1
1012BM	1012BM	34	GAS	30953	910,38	1
1012BN	1012BN	26	ELK	54922	2112,38	1
