POSTCODE	POSTCODE_EIND	AANSLUITINGEN_AANTAL	PRODUCTSOORT	SJA_TOTAAL	SJA_GEMIDDELD	POSTCODE_AANTAL
1171RA	1171RA	12	GAS	24383	2031,92	1
1171RB	1171RB	14	ELK	63426	4530,43	1
1171RB	1171RB	13	GAS	22745	1749,62	1
1171RC	1171RC	18	ELK	78121	4340,06	1
1171RC	1171RC	16	GAS	23548	1471,75	1
1171RZ	1171SH	25	ELK	100098	4003,92	2
1171RZ	1171SH	24	GAS	26898	1120,75	2
1171SJ	1171SJ	13	ELK	35996	2768,92	1
1171SJ	1171SJ	12	GAS	11317	943,08	1
1171SK	1171SK	15	ELK	34909	2327,27	1
1171SK	1171SK	14	GAS	16148	1153,43	1
1171SM	1171SM	21	ELK	66648	3173,71	1
1171SM	1171SM	20	GAS	28767	1438,35	1
1171SN	1171SN	19	ELK	45448	2392,00	1
1171SN	1171SN	19	GAS	25469	1340,47	1
1171SP	1171SP	23	ELK	85109	3700,39	1
1171SP	1171SP	22	GAS	31423	1428,32	1
1171SR	1171SR	14	ELK	46665	3333,21	1
1171SR	1171SR	14	GAS	21020	1501,43	1
1171ST	1171ST	15	ELK	34525	2301,67	1
1171ST	1171ST	15	GAS	14418	961,20	1
1171SV	1171SV	19	ELK	54171	2851,11	1
1171SV	1171SV	19	GAS	21102	1110,63	1
1171SW	1171SW	20	ELK	42619	2130,95	1
1171SW	1171SW	20	GAS	18961	948,05	1
1171SX	1171SZ	29	ELK	77122	2659,38	2
1171SX	1171SZ	29	GAS	37716	1300,55	2
1171TA	1171TA	18	ELK	58487	3249,28	1
1171TA	1171TA	18	GAS	23746	1319,22	1
1171TB	1171TB	14	ELK	43381	3098,64	1
1171TB	1171TB	14	GAS	19158	1368,43	1
1171TC	1171TC	24	ELK	112497	4687,38	1
1171TC	1171TC	24	GAS	36905	1537,71	1
1171TD	1171TD	23	ELK	70604	3069,74	1
1171TD	1171TD	22	GAS	33630	1528,64	1
1171TE	1171TE	23	ELK	73347	3189,00	1
1171TE	1171TE	23	GAS	34432	1497,04	1
1171TG	1171TG	22	ELK	58665	2666,59	1
1171TG	1171TG	22	GAS	29664	1348,36	1
1171TH	1171TH	16	ELK	59533	3720,81	1
1171TH	1171TH	16	GAS	24226	1514,13	1
1171TJ	1171TJ	16	ELK	51838	3239,88	1
1171TJ	1171TJ	16	GAS	24652	1540,75	1
1171TK	1171TK	16	ELK	42661	2666,31	1
1171TK	1171TK	17	GAS	39660	2332,94	1
1171TL	1171TL	10	ELK	42744	4274,40	1
1171TL	1171TL	10	GAS	18046	1804,60	1
1171TM	1171TM	57	ELK	126721	2223,18	1
1171TM	1171TM	21	GAS	92236	4392,19	1
1171TN	1171TN	18	ELK	59784	3321,33	1
1171TN	1171TN	18	GAS	27771	1542,83	1
1171TP	1171TP	14	ELK	77203	5514,50	1
1171TP	1171TP	13	GAS	19930	1533,08	1
1171TR	1171TR	14	ELK	73088	5220,57	1
1171TR	1171TR	13	GAS	23903	1838,69	1
1171TS	1171TS	17	ELK	67726	3983,88	1
1171TS	1171TS	17	GAS	22262	1309,53	1
1171TT	1171TT	19	ELK	89720	4722,11	1
1171TT	1171TT	19	GAS	33261	1750,58	1
1171TV	1171TV	14	ELK	70541	5038,64	1
1171TV	1171TV	14	GAS	31708	2264,86	1
1171TW	1171TW	21	ELK	82836	3944,57	1
1171TW	1171TW	21	GAS	32798	1561,81	1
1171TX	1171TX	15	ELK	65654	4376,93	1
1171TX	1171TX	15	GAS	25349	1689,93	1
1171TZ	1171TZ	11	ELK	40619	3692,64	1
1171TZ	1171TZ	11	GAS	18920	1720,00	1
1171VB	1171VC	23	ELK	404970	17607,39	2
1171VB	1171VC	22	GAS	66386	3017,55	2
1171VD	1171VD	10	ELK	143771	14377,10	1
1171VD	1171VE	10	GAS	21975	2197,50	2
1171VE	1171VH	20	ELK	227998	11399,90	3
1171VG	1171VH	10	GAS	40817	4081,70	2
1171VJ	1171VJ	10	ELK	259591	25959,10	1
1171VJ	1171VK	14	GAS	76112	5436,57	2
1171VK	1171VN	31	ELK	120184	3876,90	2
1171VN	1171VP	11	GAS	200	18,18	2
1171VP	1171VP	25	ELK	71264	2850,56	1
1171VR	1171VR	28	ELK	52154	1862,64	1
1171VR	1171VR	23	GAS	17095	743,26	1
1171VS	1171VS	27	ELK	42132	1560,44	1
1171VS	1171VS	23	GAS	18300	795,65	1
1171VT	1171VT	27	ELK	49940	1849,63	1
1171VT	1171VT	23	GAS	19787	860,30	1
1171VV	1171VV	27	ELK	65386	2421,70	1
1171VV	1171VV	24	GAS	24432	1018,00	1
1171VW	1171VW	26	ELK	50063	1925,50	1
1171VW	1171VW	23	GAS	14353	624,04	1
1171VX	1171VX	26	ELK	38295	1472,88	1
1171VX	1171VX	23	GAS	13891	603,96	1
1171VZ	1171WB	22	ELK	93757	4261,68	2
1171VZ	1171WB	20	GAS	24860	1243,00	2
1171WC	1171WD	26	ELK	80035	3078,27	2
1171WC	1171WD	26	GAS	27113	1042,81	2
1171WE	1171WE	14	ELK	38286	2734,71	1
1171WE	1171WE	14	GAS	10185	727,50	1
1171WG	1171WG	20	ELK	51693	2584,65	1
1171WG	1171WG	19	GAS	17548	923,58	1
1171WH	1171WH	18	ELK	52017	2889,83	1
1171WH	1171WH	18	GAS	24092	1338,44	1
1171WJ	1171WJ	18	ELK	50853	2825,17	1
1171WJ	1171WJ	18	GAS	15655	869,72	1
1171WK	1171WK	14	ELK	45923	3280,21	1
1171WK	1171WK	14	GAS	13029	930,64	1
1171WL	1171WL	19	ELK	54132	2849,05	1
1171WL	1171WL	18	GAS	17426	968,11	1
1171WM	1171WN	32	ELK	117326	3666,44	2
1171WM	1171WN	33	GAS	31467	953,55	2
1171WP	1171WP	25	ELK	87709	3508,36	1
1171WP	1171WP	24	GAS	21775	907,29	1
1171WR	1171WS	90	ELK	291039	3233,77	2
1171WR	1171WS	88	GAS	74990	852,16	2
1171WT	1171WT	34	ELK	45692	1343,88	1
1171WT	1171WT	32	GAS	21414	669,19	1
1171WV	1171WV	41	ELK	56000	1365,85	1
1171WV	1171WV	39	GAS	16877	432,74	1
1171WW	1171WX	14	ELK	130527	9323,36	2
1171WW	1171WX	12	GAS	18836	1569,67	2
1171WZ	1171WZ	36	ELK	220321	6120,03	1
1171WZ	1171XA	33	GAS	26091	790,64	2
1171XA	1171XA	27	ELK	38098	1411,04	1
1171XB	1171XB	12	ELK	18178	1514,83	1
1171XB	1171XB	10	GAS	10075	1007,50	1
1171XC	1171XC	25	ELK	131938	5277,52	1
1171XC	1171XC	24	GAS	30196	1258,17	1
1171XD	1171XD	42	ELK	106639	2539,02	1
1171XD	1171XD	34	GAS	22529	662,62	1
1171XE	1171XE	177	ELK	395385	2233,81	1
1171XE	1171XG	25	GAS	31640	1265,60	2
1171XG	1171XG	19	ELK	52165	2745,53	1
1171XH	1171XH	27	ELK	110836	4105,04	1
1171XH	1171XH	23	GAS	30642	1332,26	1
1171XJ	1171XJ	20	ELK	129760	6488,00	1
1171XJ	1171XJ	16	GAS	33110	2069,38	1
1171XK	1171XK	22	ELK	73416	3337,09	1
1171XK	1171XK	22	GAS	31421	1428,23	1
1171XL	1171XL	13	ELK	47716	3670,46	1
1171XL	1171XL	13	GAS	19753	1519,46	1
1171XM	1171XM	16	ELK	32802	2050,13	1
1171XM	1171XM	16	GAS	16951	1059,44	1
1171XN	1171XN	28	ELK	34966	1248,79	1
1171XN	1171XN	24	GAS	15759	656,63	1
1171XP	1171XP	14	ELK	40861	2918,64	1
1171XP	1171XP	14	GAS	19659	1404,21	1
1171XR	1171XR	21	ELK	45238	2154,19	1
1171XR	1171XR	21	GAS	20451	973,86	1
1171XS	1171XS	21	ELK	39438	1878,00	1
1171XS	1171XS	21	GAS	18602	885,81	1
1171XT	1171XV	25	ELK	103815	4152,60	2
1171XT	1171XV	24	GAS	30719	1279,96	2
1171XW	1171XW	18	ELK	162488	9027,11	1
1171XW	1171XW	14	GAS	47813	3415,21	1
1171XX	1171XX	23	ELK	61474	2672,78	1
1171XX	1171XX	23	GAS	25756	1119,83	1
1171XZ	1171XZ	22	ELK	64108	2914,00	1
1171XZ	1171XZ	21	GAS	23616	1124,57	1
1171ZA	1171ZA	21	ELK	31640	1506,67	1
1171ZA	1171ZA	19	GAS	11090	583,68	1
1171ZB	1171ZB	21	ELK	34528	1644,19	1
1171ZB	1171ZB	19	GAS	9991	525,84	1
1171ZC	1171ZC	20	ELK	28735	1436,75	1
1171ZC	1171ZC	19	GAS	11061	582,16	1
1171ZD	1171ZD	13	ELK	23708	1823,69	1
1171ZD	1171ZD	12	GAS	6542	545,17	1
1171ZE	1171ZE	13	ELK	33864	2604,92	1
1171ZE	1171ZE	12	GAS	11861	988,42	1
1171ZG	1171ZG	18	ELK	33174	1843,00	1
1171ZG	1171ZG	17	GAS	9411	553,59	1
1171ZH	1171ZH	20	ELK	146705	7335,25	1
1171ZH	1171ZJ	28	GAS	28190	1006,79	2
1171ZJ	1171ZJ	22	ELK	44316	2014,36	1
1171ZK	1171ZK	13	ELK	23678	1821,38	1
1171ZK	1171ZK	12	GAS	6913	576,08	1
1171ZL	1171ZL	13	ELK	28035	2156,54	1
1171ZL	1171ZL	12	GAS	7595	632,92	1
1171ZM	1171ZM	21	ELK	43555	2074,05	1
1171ZM	1171ZM	20	GAS	13879	693,95	1
1171ZN	1171ZN	21	ELK	37303	1776,33	1
1171ZN	1171ZN	20	GAS	10238	511,90	1
1171ZP	1171ZP	15	ELK	26106	1740,40	1
1171ZP	1171ZP	14	GAS	6798	485,57	1
1171ZR	1171ZR	18	ELK	20041	1113,39	1
1171ZR	1171ZR	17	GAS	7629	448,76	1
1171ZS	1171ZS	18	ELK	31854	1769,67	1
1171ZS	1171ZS	17	GAS	11576	680,94	1
1171ZT	1171ZV	13	ELK	105525	8117,31	2
1171ZW	1171ZW	32	ELK	196517	6141,16	1
1171ZX	1171ZX	14	ELK	83364	5954,57	1
1171ZZ	1171ZZ	247	ELK	899808	3642,95	1
1175KC	1175KC	13	ELK	75806	5831,23	1
1175KC	1175KC	14	GAS	102744	7338,86	1
1175KD	1175KE	44	ELK	252299	5734,07	2
1175KE	1175KE	22	GAS	28826	1310,27	1
1175KG	1175KG	18	ELK	49932	2774,00	1
1175KG	1175KG	16	GAS	23366	1460,38	1
1175KH	1175KH	18	ELK	65440	3635,56	1
1175KH	1175KH	17	GAS	24242	1426,00	1
1175KJ	1175KJ	18	ELK	59239	3291,06	1
1175KJ	1175KJ	17	GAS	23645	1390,88	1
1175KK	1175KL	21	ELK	83943	3997,29	2
1175KK	1175KL	20	GAS	25376	1268,80	2
1175KM	1175KM	21	ELK	251547	11978,43	1
1175KM	1175KM	13	GAS	26751	2057,77	1
1175KN	1175KN	18	ELK	102888	5716,00	1
1175KN	1175KN	14	GAS	40148	2867,71	1
1175KP	1175KR	13	ELK	193784	14906,46	2
1175KR	1175KS	15	GAS	33549	2236,60	2
1175KS	1175KS	12	ELK	61541	5128,42	1
1175KT	1175KT	18	ELK	67701	3761,17	1
1175KT	1175KT	17	GAS	25100	1476,47	1
1175KV	1175KV	109	ELK	636480	5839,27	1
1175KV	1175KV	20	GAS	41542	2077,10	1
1175KW	1175KW	18	ELK	89765	4986,94	1
1175KW	1175KW	18	GAS	36516	2028,67	1
1175KX	1175KX	32	ELK	251384	7855,75	1
1175KX	1175KX	24	GAS	63212	2633,83	1
1175KZ	1175KZ	42	ELK	98228	2338,76	1
1175LA	1175LA	30	ELK	147344	4911,47	1
1175LA	1175LA	23	GAS	34401	1495,70	1
1175LB	1175LB	25	ELK	103213	4128,52	1
1175LB	1175LB	23	GAS	43040	1871,30	1
1175LC	1175LC	21	ELK	132693	6318,71	1
1175LC	1175LC	18	GAS	33227	1845,94	1
1175LD	1175LD	14	ELK	83082	5934,43	1
1175LD	1175LD	10	GAS	29534	2953,40	1
1175LE	1175LE	18	ELK	64689	3593,83	1
1175LE	1175LE	19	GAS	30792	1620,63	1
1175LG	1175LG	17	ELK	81795	4811,47	1
1175LG	1175LG	16	GAS	23695	1480,94	1
1175LH	1175LJ	32	ELK	122322	3822,56	2
1175LH	1175LJ	26	GAS	34822	1339,31	2
1175LK	1175LK	22	ELK	186638	8483,55	1
1175LK	1175LK	18	GAS	25565	1420,28	1
1175QQ	1175RB	43	ELK	358731	8342,58	3
1175RA	1175RB	43	GAS	184212	4284,00	2
1175RD	1175RD	11	ELK	95850	8713,64	1
1175RD	1175RD	15	GAS	119492	7966,13	1
1175RE	1175RE	25	ELK	91623	3664,92	1
1175RE	1175RE	22	GAS	18423	837,41	1
1175RH	1175RJ	14	ELK	242411	17315,07	2
1175RH	1175RH	10	GAS	54509	5450,90	1
1175RJ	1175RK	17	GAS	51058	3003,41	2
1175RK	1175RM	49	ELK	490946	10019,31	2
1175RM	1175RM	35	GAS	64903	1854,37	1
1175RN	1211AA	24	GAS	108595	4524,79	5
1175RZ	1181AA	29	ELK	125809	4338,24	2
1181AB	1181AB	16	ELK	50485	3155,31	1
1181AC	1181AC	27	ELK	76740	2842,22	1
1181AD	1181AD	20	ELK	48702	2435,10	1
1181AE	1181AE	20	ELK	60110	3005,50	1
1181AG	1181AG	27	ELK	74563	2761,59	1
1181AH	1181AH	37	ELK	78425	2119,59	1
1181AJ	1181AJ	19	ELK	49203	2589,63	1
1181AK	1181AK	57	ELK	133902	2349,16	1
1181AL	1181AL	13	ELK	48841	3757,00	1
1181AM	1181AM	19	ELK	57815	3042,89	1
1181AN	1181AN	17	ELK	49283	2899,00	1
1181AP	1181AR	32	ELK	109962	3436,31	2
1181AS	1181AS	27	ELK	103481	3832,63	1
1181AT	1181AT	21	ELK	106782	5084,86	1
1181AV	1181AV	14	ELK	48031	3430,79	1
1181AW	1181AW	14	ELK	45219	3229,93	1
1181AX	1181AX	26	ELK	109666	4217,92	1
1181AZ	1181AZ	17	ELK	63142	3714,24	1
1181BA	1181BA	19	ELK	58982	3104,32	1
1181BB	1181BB	15	ELK	58766	3917,73	1
1181BC	1181BC	22	ELK	63773	2898,77	1
1181BD	1181BD	16	ELK	97153	6072,06	1
1181BE	1181BE	24	ELK	125850	5243,75	1
1181BG	1181BG	20	ELK	86326	4316,30	1
1181BH	1181BH	26	ELK	120738	4643,77	1
1181BJ	1181BJ	20	ELK	60037	3001,85	1
1181BK	1181BK	19	ELK	57111	3005,84	1
1181BL	1181BL	23	ELK	88722	3857,48	1
1181BM	1181BM	10	ELK	31687	3168,70	1
1181BN	1181BN	23	ELK	91042	3958,35	1
1181BP	1181BP	36	ELK	224092	6224,78	1
1181BR	1181BR	22	ELK	181547	8252,14	1
1181BS	1181BS	27	ELK	157461	5831,89	1
1181BT	1181BT	20	ELK	125781	6289,05	1
1181BV	1181BV	37	ELK	71760	1939,46	1
1181BW	1181BW	32	ELK	263904	8247,00	1
1181BX	1181BX	29	ELK	141321	4873,14	1
1181BZ	1181BZ	29	ELK	92950	3205,17	1
1181CA	1181CB	17	ELK	135182	7951,88	2
1181CC	1181CC	33	ELK	89551	2713,67	1
1181CD	1181CD	33	ELK	109920	3330,91	1
1181CE	1181CE	24	ELK	71835	2993,13	1
1181CG	1181CG	28	ELK	32625	1165,18	1
1181CH	1181CH	20	ELK	56594	2829,70	1
1181CJ	1181CJ	18	ELK	54085	3004,72	1
1181CK	1181CK	28	ELK	45281	1617,18	1
1181CL	1181CL	26	ELK	44748	1721,08	1
1181CM	1181CM	18	ELK	57216	3178,67	1
1181CN	1181CN	22	ELK	66419	3019,05	1
1181CP	1181CP	25	ELK	92838	3713,52	1
1181CR	1181CR	23	ELK	71238	3097,30	1
1181CS	1181CS	22	ELK	54351	2470,50	1
1181CT	1181CT	22	ELK	50058	2275,36	1
1181CV	1181CV	23	ELK	65986	2868,96	1
1181CW	1181CW	21	ELK	82130	3910,95	1
1181CX	1181CX	18	ELK	84524	4695,78	1
1181CZ	1181CZ	21	ELK	99795	4752,14	1
1181DA	1181DA	20	ELK	73030	3651,50	1
1181DB	1181DB	20	ELK	73131	3656,55	1
1181DC	1181DC	25	ELK	142877	5715,08	1
1181DD	1181DE	26	ELK	77690	2988,08	2
1181DG	1181DG	35	ELK	89374	2553,54	1
1181DH	1181DH	22	ELK	70823	3219,23	1
1181DJ	1181DJ	42	ELK	90531	2155,50	1
1181DK	1181DK	23	ELK	88275	3838,04	1
1181DL	1181DL	25	ELK	62592	2503,68	1
1181DM	1181DM	24	ELK	56219	2342,46	1
1181DN	1181DN	31	ELK	120343	3882,03	1
1181DP	1181DP	18	ELK	60476	3359,78	1
1181DR	1181DR	20	ELK	58226	2911,30	1
1181DS	1181DS	23	ELK	53523	2327,09	1
1181DT	1181DT	23	ELK	99624	4331,48	1
1181DV	1181DV	20	ELK	74498	3724,90	1
1181DW	1181DW	19	ELK	59484	3130,74	1
1181DX	1181DX	29	ELK	86175	2971,55	1
1181DZ	1181DZ	24	ELK	112083	4670,13	1
1181EA	1181EA	18	ELK	81685	4538,06	1
1181EB	1181EB	25	ELK	62296	2491,84	1
1181EC	1181EC	26	ELK	135732	5220,46	1
1181ED	1181ED	21	ELK	78763	3750,62	1
1181EE	1181EE	28	ELK	117397	4192,75	1
1181EG	1181EG	19	ELK	62349	3281,53	1
1181EH	1181EH	18	ELK	56093	3116,28	1
1181EJ	1181EJ	20	ELK	67094	3354,70	1
1181EK	1181EK	16	ELK	66220	4138,75	1
1181EL	1181EL	26	ELK	90380	3476,15	1
1181EM	1181EM	26	ELK	75158	2890,69	1
1181EN	1181EN	24	ELK	56477	2353,21	1
1181EP	1181EP	16	ELK	51071	3191,94	1
1181ER	1181ER	22	ELK	164054	7457,00	1
1181ES	1181ES	37	ELK	174047	4703,97	1
1181ET	1181ET	10	ELK	32778	3277,80	1
1181EV	1181EV	20	ELK	43065	2153,25	1
1181EW	1181EW	19	ELK	46836	2465,05	1
1181EX	1181EX	19	ELK	68754	3618,63	1
1181EZ	1181EZ	27	ELK	49659	1839,22	1
1181GA	1181GA	23	ELK	54430	2366,52	1
1181GB	1181GB	25	ELK	49288	1971,52	1
1181GC	1181GC	24	ELK	48079	2003,29	1
1181GD	1181GD	21	ELK	48335	2301,67	1
1181GE	1181GE	94	ELK	478467	5090,07	1
1181GG	1181GG	30	ELK	133749	4458,30	1
1181GH	1181GH	27	ELK	37766	1398,74	1
1181GJ	1181GJ	27	ELK	27213	1007,89	1
1181GK	1181GK	28	ELK	32834	1172,64	1
1181GL	1181GL	29	ELK	67606	2331,24	1
1181GM	1181GM	32	ELK	90862	2839,44	1
1181GN	1181GN	26	ELK	228670	8795,00	1
1181GP	1181GP	18	ELK	52840	2935,56	1
1181GR	1181GR	18	ELK	49499	2749,94	1
1181GS	1181GS	18	ELK	59826	3323,67	1
1181GT	1181GT	18	ELK	40340	2241,11	1
1181GV	1181GV	19	ELK	195045	10265,53	1
1181GW	1181GW	33	ELK	170277	5159,91	1
1181GX	1181GX	27	ELK	152487	5647,67	1
1181GZ	1181GZ	111	ELK	277985	2504,37	1
1181HA	1181HA	22	ELK	23260	1057,27	1
1181HB	1181HB	33	ELK	77045	2334,70	1
1181HC	1181HC	21	ELK	49565	2360,24	1
1181HD	1181HD	31	ELK	51237	1652,81	1
1181HE	1181HG	27	ELK	69597	2577,67	2
1181HH	1181HH	18	ELK	64782	3599,00	1
1181HJ	1181HJ	18	ELK	68672	3815,11	1
1181HK	1181HK	35	ELK	103093	2945,51	1
1181HL	1181HL	31	ELK	117288	3783,48	1
1181HM	1181HM	25	ELK	49016	1960,64	1
1181HN	1181HN	27	ELK	92336	3419,85	1
1181HP	1181HP	25	ELK	68120	2724,80	1
1181HR	1181HR	24	ELK	28481	1186,71	1
1181HS	1181HS	24	ELK	26670	1111,25	1
1181HT	1181HT	24	ELK	28848	1202,00	1
1181HV	1181HW	41	ELK	107323	2617,63	2
1181HX	1181HX	21	ELK	46506	2214,57	1
1181HZ	1181HZ	20	ELK	52696	2634,80	1
1181JA	1181JA	19	ELK	79313	4174,37	1
1181JB	1181JB	17	ELK	34145	2008,53	1
1181JC	1181JC	297	ELK	549935	1851,63	1
1181JD	1181JD	18	ELK	68777	3820,94	1
1181JE	1181JE	18	ELK	75977	4220,94	1
1181JG	1181JG	13	ELK	59081	4544,69	1
1181JH	1181JH	29	ELK	88393	3048,03	1
1181JJ	1181JJ	28	ELK	79752	2848,29	1
1181JK	1181JL	22	ELK	103916	4723,45	2
1181JM	1181JM	29	ELK	105041	3622,10	1
1181JN	1181JN	28	ELK	82090	2931,79	1
1181JP	1181JP	13	ELK	45297	3484,38	1
1181JR	1181JS	16	ELK	67367	4210,44	2
1181JT	1181JT	35	ELK	118780	3393,71	1
1181JV	1181JV	24	ELK	80736	3364,00	1
1181JW	1181JX	16	ELK	64702	4043,88	2
1181JZ	1181KA	36	ELK	110535	3070,42	2
1181KB	1181KB	28	ELK	57349	2048,18	1
1181KC	1181KD	13	ELK	58132	4471,69	2
1181KE	1181KE	18	ELK	55970	3109,44	1
1181KG	1181KG	18	ELK	29262	1625,67	1
1181KH	1181KH	11	ELK	61423	5583,91	1
1181KJ	1181KK	37	ELK	99893	2699,81	2
1181KL	1181KL	34	ELK	83978	2469,94	1
1181KM	1181KM	20	ELK	32278	1613,90	1
1181KN	1181KN	21	ELK	34039	1620,90	1
1181KP	1181KP	38	ELK	69171	1820,29	1
1181KR	1181KR	23	ELK	63940	2780,00	1
1181KS	1181KS	30	ELK	45758	1525,27	1
1181KT	1181KT	20	ELK	39013	1950,65	1
1181KV	1181KV	33	ELK	47308	1433,58	1
1181KW	1181KW	26	ELK	118347	4551,81	1
1181KX	1181KX	30	ELK	49677	1655,90	1
1181KZ	1181KZ	20	ELK	38615	1930,75	1
1181LA	1181LA	34	ELK	77412	2276,82	1
1181LB	1181LB	22	ELK	61848	2811,27	1
1181LC	1181LC	30	ELK	49394	1646,47	1
1181LD	1181LD	28	ELK	136556	4877,00	1
1181LE	1181LE	42	ELK	214815	5114,64	1
1181LG	1181LG	12	ELK	91150	7595,83	1
1181LH	1181LH	31	ELK	114262	3685,87	1
1181LJ	1181LJ	29	ELK	82710	2852,07	1
1181LK	1181LK	28	ELK	63808	2278,86	1
1181LL	1181LL	25	ELK	41231	1649,24	1
1181LM	1181LM	24	ELK	52108	2171,17	1
1181LN	1181LN	21	ELK	53418	2543,71	1
1181LP	1181LP	27	ELK	109597	4059,15	1
1181LR	1181LR	17	ELK	69687	4099,24	1
1181LS	1181LS	18	ELK	68054	3780,78	1
1181LT	1181LT	22	ELK	62024	2819,27	1
1181LV	1181LV	22	ELK	35015	1591,59	1
1181LW	1181LW	13	ELK	46997	3615,15	1
1181LX	1181LX	50	ELK	111358	2227,16	1
1181LZ	1181LZ	26	ELK	88311	3396,58	1
1181MA	1181MA	18	ELK	34595	1921,94	1
1181MB	1181MB	26	ELK	86499	3326,88	1
1181MC	1181MC	28	ELK	66521	2375,75	1
1181MD	1181MD	27	ELK	86140	3190,37	1
1181ME	1181ME	25	ELK	71171	2846,84	1
1181MG	1181MG	20	ELK	65264	3263,20	1
1181MH	1181MH	20	ELK	61490	3074,50	1
1181MJ	1181MJ	80	ELK	247475	3093,44	1
1181MK	1181MK	25	ELK	81666	3266,64	1
1181ML	1181ML	25	ELK	71303	2852,12	1
1181MN	1181MN	22	ELK	86586	3935,73	1
1181MP	1181MP	19	ELK	59918	3153,58	1
1181MR	1181MR	20	ELK	73540	3677,00	1
1181MS	1181MS	32	ELK	115590	3612,19	1
1181MT	1181MT	19	ELK	52954	2787,05	1
1181MV	1181MV	26	ELK	91131	3505,04	1
1181MX	1181MX	36	ELK	73245	2034,58	1
1181MZ	1181MZ	27	ELK	83128	3078,81	1
1181NA	1181NA	21	ELK	92211	4391,00	1
1181NB	1181NC	22	ELK	243109	11050,41	2
1181ND	1181ND	16	ELK	26471	1654,44	1
1181NE	1181NE	31	ELK	80845	2607,90	1
1181NG	1181NG	32	ELK	110266	3445,81	1
1181NH	1181NH	26	ELK	69181	2660,81	1
1181NJ	1181NJ	25	ELK	64552	2582,08	1
1181NK	1181NK	26	ELK	108382	4168,54	1
1181NL	1181NL	24	ELK	88175	3673,96	1
1181NM	1181NM	37	ELK	110775	2993,92	1
1181NN	1181NN	10	ELK	71855	7185,50	1
1181NP	1181NP	21	ELK	99195	4723,57	1
1181NR	1181NR	16	ELK	38849	2428,06	1
1181NS	1181NS	18	ELK	35024	1945,78	1
1181NT	1181NV	55	ELK	209405	3807,36	2
1181NW	1181NW	32	ELK	82909	2590,91	1
1181NX	1181NX	35	ELK	94493	2699,80	1
1181NZ	1181NZ	119	ELK	356704	2997,51	1
1181PA	1181PA	11	ELK	47239	4294,45	1
1181PB	1181PB	24	ELK	84161	3506,71	1
1181PC	1181PC	33	ELK	106725	3234,09	1
1181PD	1181PD	25	ELK	86398	3455,92	1
1181PE	1181PE	31	ELK	149484	4822,06	1
1181PG	1181PG	21	ELK	112752	5369,14	1
1181PH	1181PH	30	ELK	76468	2548,93	1
1181PJ	1181PJ	25	ELK	103280	4131,20	1
1181PK	1181PK	28	ELK	107515	3839,82	1
1181PL	1181PL	29	ELK	110053	3794,93	1
1181PM	1181PM	22	ELK	84565	3843,86	1
1181PN	1181PN	13	ELK	44553	3427,15	1
1181PP	1181PP	16	ELK	71788	4486,75	1
1181PR	1181PR	13	ELK	48729	3748,38	1
1181PS	1181PS	20	ELK	82206	4110,30	1
1181PT	1181PT	15	ELK	56880	3792,00	1
1181PV	1181PV	22	ELK	100181	4553,68	1
1181PW	1181PW	28	ELK	131440	4694,29	1
1181PX	1181PX	30	ELK	119477	3982,57	1
1181PZ	1181PZ	27	ELK	119754	4435,33	1
1181RA	1181RA	25	ELK	116872	4674,88	1
1181RB	1181RB	26	ELK	109007	4192,58	1
1181RC	1181RC	19	ELK	142939	7523,11	1
1181RD	1181RD	32	ELK	128898	4028,06	1
1181RE	1181RE	24	ELK	74903	3120,96	1
1181RG	1181RG	23	ELK	111073	4829,26	1
1181RH	1181RH	21	ELK	236199	11247,57	1
1181RJ	1181RJ	20	ELK	101824	5091,20	1
1181RK	1181RK	20	ELK	119480	5974,00	1
1181RL	1181RL	30	ELK	170733	5691,10	1
1181RM	1181RN	23	ELK	64102	2787,04	2
1181RP	1181RP	19	ELK	60609	3189,95	1
1181RR	1181RR	52	ELK	237055	4558,75	1
1181RS	1181RS	22	ELK	35398	1609,00	1
1181RT	1181RT	23	ELK	73861	3211,35	1
1181RV	1181RV	22	ELK	50979	2317,23	1
1181RW	1181RW	19	ELK	36596	1926,11	1
1181RX	1181RX	21	ELK	53101	2528,62	1
1181RZ	1181RZ	19	ELK	43357	2281,95	1
1181SB	1181SB	35	ELK	93521	2672,03	1
1181SC	1181SC	22	ELK	48057	2184,41	1
1181SE	1181SE	21	ELK	66592	3171,05	1
1181SG	1181SH	30	ELK	56077	1869,23	2
1181SJ	1181SJ	25	ELK	102924	4116,96	1
1181SK	1181SK	20	ELK	58826	2941,30	1
1181SL	1181SL	19	ELK	36513	1921,74	1
1181SM	1181SM	19	ELK	80020	4211,58	1
1181SN	1181SN	18	ELK	48081	2671,17	1
1181SP	1181SP	22	ELK	108622	4937,36	1
1181SR	1181SR	29	ELK	92816	3200,55	1
1181ST	1181ST	31	ELK	88601	2858,10	1
1181SV	1181SV	21	ELK	66468	3165,14	1
1181SW	1181SW	24	ELK	72780	3032,50	1
1181SX	1181SX	23	ELK	83145	3615,00	1
1181SZ	1181SZ	22	ELK	83068	3775,82	1
1181TA	1181TA	15	ELK	93124	6208,27	1
1181TB	1181TB	33	ELK	101769	3083,91	1
1181TC	1181TC	18	ELK	54123	3006,83	1
1181TD	1181TD	29	ELK	65015	2241,90	1
