"AANSLUITINGEN_AANTAL	POSTCODE	POSTCODE_EIND	POSTCODE_AANTAL	PRODUCTSOORT	TYPE_AANSLUITING_MEEST_VOORKOMEND	TOT_E_INV	SJI GEMIDDELD"
"26	1011HM	1011HP	3	ELK	1x25	0	0.0"
"47	1011HR	1011HR	1	ELK	1x25	0	0.0"
"44	1011HS	1011HS	1	ELK	3x25	2730	62.04545454545455"
"23	1011HT	1011HT	1	ELK	1x25	3	0.13043478260869565"
"22	1011HV	1011HV	1	ELK	1x25	0	0.0"
"29	1011HW	1011HW	1	ELK	1x25	0	0.0"
"12	1011HX	1011HX	1	ELK	1x25	0	0.0"
"42	1011HZ	1011HZ	1	ELK	1x25	0	0.0"
"24	1011JA	1011JA	1	ELK	1x25	0	0.0"
"39	1011JB	1011JB	1	ELK	1x25	3	0.07692307692307693"
"12	1011JC	1011JD	2	ELK	1x25	0	0.0"
"90	1011JG	1011JH	2	ELK	1x35	0	0.0"
"10	1011JJ	1011JJ	1	ELK	1x25	0	0.0"
"14	1011JK	1011JK	1	ELK	1x35	0	0.0"
"29	1011JL	1011JL	1	ELK	1x25	63	2.1724137931034484"
"11	1011JM	1011JM	1	ELK	1x25	281	25.545454545454547"
"18	1011JN	1011JN	1	ELK	1x25	0	0.0"
"16	1011JP	1011JP	1	ELK	3x25	0	0.0"
"13	1011JR	1011JR	1	ELK	1x25	0	0.0"
"28	1011JS	1011JT	2	ELK	1x25	0	0.0"
"17	1011JV	1011JV	1	ELK	1x25	0	0.0"
"12	1011JW	1011JW	1	ELK	3x25	0	0.0"
"27	1011JX	1011JZ	2	ELK	1x25	28	1.037037037037037"
"37	1011KA	1011KA	1	ELK	1x25	0	0.0"
"26	1011KB	1011KB	1	ELK	3x25	706	27.153846153846153"
"32	1011KC	1011KC	1	ELK	3x25	0	0.0"
"18	1011KD	1011KD	1	ELK	1x35	0	0.0"
"28	1011KE	1011KH	2	ELK	3x25	0	0.0"
"38	1011KJ	1011KJ	1	ELK	1x25	839	22.07894736842105"
"40	1011KK	1011KK	1	ELK	1x25	0	0.0"
"14	1011KL	1011KM	2	ELK	3x25	120	8.571428571428571"
"21	1011KN	1011KN	1	ELK	3x25	1651	78.61904761904762"
"25	1011KP	1011KP	1	ELK	1x35	0	0.0"
"20	1011KR	1011KR	1	ELK	1x25	0	0.0"
"16	1011KS	1011KS	1	ELK	3x25	0	0.0"
"31	1011KT	1011KT	1	ELK	1x25	0	0.0"
"10	1011KV	1011KV	1	ELK	1x25	0	0.0"
"84	1011KW	1011KW	1	ELK	3x25	927	11.035714285714286"
"10	1011KX	1011KX	1	ELK	3x25	0	0.0"
"31	1011KZ	1011KZ	1	ELK	1x35	283	9.129032258064516"
"14	1011LA	1011LA	1	ELK	1x35	0	0.0"
"31	1011LB	1011LB	1	ELK	1x25	0	0.0"
"15	1011LC	1011LC	1	ELK	1x35	0	0.0"
"50	1011LD	1011LD	1	ELK	1x25	2268	45.36"
"42	1011LE	1011LE	1	ELK	1x25	0	0.0"
"24	1011LG	1011LH	2	ELK	1x25	568	23.666666666666668"
"16	1011LJ	1011LJ	1	ELK	1x25	1035	64.6875"
"32	1011LK	1011LL	2	ELK	1x35	0	0.0"
"119	1011LM	1011LM	1	ELK	1x25	4568	38.38655462184874"
"16	1011LN	1011LP	2	ELK	1x35	0	0.0"
"14	1011LR	1011LR	1	ELK	1x35	0	0.0"
"13	1011LS	1011LS	1	ELK	1x25	0	0.0"
"13	1011LT	1011LT	1	ELK	1x25	0	0.0"
"16	1011LV	1011LV	1	ELK	1x25	0	0.0"
"31	1011LW	1011LW	1	ELK	1x25	0	0.0"
"11	1011LX	1011LX	1	ELK	3x25	4050	368.1818181818182"
"88	1011LZ	1011LZ	1	ELK	1x35	0	0.0"
"40	1011MA	1011MB	2	ELK	1x25	0	0.0"
"44	1011MC	1011MG	2	ELK	1x35	149	3.3863636363636362"
"47	1011MH	1011MH	1	ELK	3x25	1	0.02127659574468085"
"32	1011MJ	1011MJ	1	ELK	1x35	0	0.0"
"55	1011MK	1011MK	1	ELK	1x35	0	0.0"
"44	1011ML	1011ML	1	ELK	1x35	0	0.0"
"65	1011MN	1011MN	1	ELK	1x35	30685	472.0769230769231"
"23	1011MP	1011MP	1	ELK	1x35	0	0.0"
"18	1011MR	1011MR	1	ELK	1x35	0	0.0"
"18	1011MT	1011MT	1	ELK	1x35	0	0.0"
"27	1011MV	1011MV	1	ELK	1x35	0	0.0"
"38	1011MX	1011MX	1	ELK	1x35	57	1.5"
"31	1011MZ	1011MZ	1	ELK	1x35	0	0.0"
"80	1011NA	1011NA	1	ELK	3x25	0	0.0"
"21	1011NB	1011NB	1	ELK	1x35	4607	219.38095238095238"
"92	1011NC	1011NC	1	ELK	3x25	0	0.0"
"29	1011ND	1011ND	1	ELK	1x35	0	0.0"
"11	1011NE	1011NG	2	ELK	3x25	1900	172.72727272727272"
"27	1011NH	1011NK	2	ELK	1x35	0	0.0"
"12	1011NM	1011NP	3	ELK	1x25	0	0.0"
"60	1011NR	1011NS	2	ELK	1x25	0	0.0"
"33	1011NV	1011NV	1	ELK	1x35	0	0.0"
"10	1011NX	1011NX	1	ELK	1x35	0	0.0"
"14	1011NZ	1011PA	2	ELK	1x25	0	0.0"
"23	1011PB	1011PB	1	ELK	1x25	6	0.2608695652173913"
"11	1011PC	1011PE	3	ELK	1x25	0	0.0"
"154	1011PG	1011PG	1	ELK	1x25	9409	61.0974025974026"
"49	1011PL	1011PL	1	ELK	1x25	0	0.0"
"22	1011PM	1011PM	1	ELK	1x25	0	0.0"
"23	1011PT	1011PT	1	ELK	1x35	0	0.0"
