"AANSLUITINGEN_AANTAL	POSTCODE	POSTCODE_EIND	POSTCODE_AANTAL	PRODUCTSOORT	TYPE_AANSLUITING_MEEST_VOORKOMEND	TOT_E_INV	SJI GEMIDDELD"
"24	1506VW	1506VW	1	ELK	1x35	13795	574.7916666666666"
"16	1506VX	1506VX	1	ELK	1x35	12661	791.3125"
"23	1506VZ	1506VZ	1	ELK	1x35	27086	1177.6521739130435"
"20	1506WB	1506WB	1	ELK	1x35	9331	466.55"
"15	1506WC	1506WC	1	ELK	1x25	8757	583.8"
"15	1506WD	1506WD	1	ELK	1x35	5312	354.1333333333333"
"20	1506WE	1506WE	1	ELK	3x25	8154	407.7"
"18	1506WG	1506WG	1	ELK	1x25	3529	196.05555555555554"
"15	1506WH	1506WH	1	ELK	1x35	20781	1385.4"
"16	1506WJ	1506WJ	1	ELK	1x35	0	0.0"
"16	1506WK	1506WK	1	ELK	1x35	0	0.0"
"14	1506WL	1506WL	1	ELK	1x35	11155	796.7857142857143"
"12	1506WN	1506WN	1	ELK	1x35	2006	167.16666666666666"
"10	1506WP	1506WP	1	ELK	1x35	2707	270.7"
"31	1506WR	1506WR	1	ELK	3x25	2278	73.48387096774194"
"34	1506WS	1506WS	1	ELK	1x35	0	0.0"
"31	1506WT	1506WT	1	ELK	1x35	0	0.0"
"26	1506WV	1506WV	1	ELK	1x35	0	0.0"
"16	1506WW	1506XA	2	ELK	1x35	0	0.0"
"16	1506XB	1506XB	1	ELK	1x35	1685	105.3125"
"20	1506XC	1506XC	1	ELK	3x25	9502	475.1"
"30	1506XD	1506XE	2	ELK	1x25	11755	391.8333333333333"
"17	1506XG	1506XG	1	ELK	3x25	3551	208.88235294117646"
"21	1506XH	1506XH	1	ELK	1x35	4174	198.76190476190476"
"24	1506XJ	1506XJ	1	ELK	1x35	5420	225.83333333333334"
"18	1506XK	1506XK	1	ELK	1x35	7401	411.1666666666667"
"12	1506XL	1506XL	1	ELK	3x25	8106	675.5"
"19	1506XM	1506XM	1	ELK	1x35	3460	182.10526315789474"
"15	1506XN	1506XN	1	ELK	1x35	13424	894.9333333333333"
"12	1506XP	1506XP	1	ELK	1x35	0	0.0"
"23	1506XR	1506XS	2	ELK	1x35	5480	238.2608695652174"
"35	1506XT	1506XT	1	ELK	1x35	6913	197.5142857142857"
"21	1506XV	1506XV	1	ELK	3x25	7508	357.5238095238095"
"15	1506XW	1506XW	1	ELK	1x25	6941	462.73333333333335"
"23	1506ZA	1506ZB	2	ELK	1x35	6166	268.0869565217391"
"19	1506ZC	1506ZC	1	ELK	1x35	10587	557.2105263157895"
"24	1506ZD	1506ZD	1	ELK	1x35	5334	222.25"
"23	1506ZE	1506ZE	1	ELK	1x35	8611	374.39130434782606"
"15	1506ZG	1506ZG	1	ELK	1x25	845	56.333333333333336"
"26	1506ZH	1506ZJ	2	ELK	1x35	3364	129.3846153846154"
"14	1506ZK	1506ZK	1	ELK	1x35	12282	877.2857142857143"
"24	1506ZL	1506ZL	1	ELK	1x35	5479	228.29166666666666"
"19	1506ZM	1506ZM	1	ELK	1x35	4440	233.68421052631578"
"12	1506ZN	1506ZN	1	ELK	3x25	6710	559.1666666666666"
"24	1506ZP	1506ZP	1	ELK	1x35	3264	136.0"
"11	1506ZR	1506ZR	1	ELK	1x35	8636	785.0909090909091"
"13	1506ZS	1506ZT	2	ELK	1x35	2970	228.46153846153845"
"48	1506ZV	1506ZW	2	ELK	1x35	38531	802.7291666666666"
"16	1506ZX	1506ZX	1	ELK	1x35	15811	988.1875"
"13	1506ZZ	1506ZZ	1	ELK	1x35	8625	663.4615384615385"
"19	1507AA	1507AA	1	ELK	3x25	7617	400.89473684210526"
"18	1507AB	1507AB	1	ELK	1x25	4905	272.5"
"17	1507AC	1507AC	1	ELK	1x25	3506	206.23529411764707"
"19	1507AD	1507AD	1	ELK	1x25	13043	686.4736842105264"
"30	1507AE	1507AE	1	ELK	1x25	26096	869.8666666666667"
"18	1507AG	1507AG	1	ELK	1x25	13114	728.5555555555555"
"22	1507AH	1507AH	1	ELK	3x25	21152	961.4545454545455"
"14	1507AJ	1507AJ	1	ELK	1x25	12266	876.1428571428571"
"16	1507AK	1507AK	1	ELK	1x35	10951	684.4375"
"23	1507AL	1507AL	1	ELK	1x25	19011	826.5652173913044"
"18	1507AM	1507AM	1	ELK	1x25	18349	1019.3888888888889"
"18	1507AN	1507AN	1	ELK	1x25	22930	1273.888888888889"
"28	1507AP	1507AP	1	ELK	1x25	17482	624.3571428571429"
"25	1507AR	1507AR	1	ELK	3x25	17716	708.64"
"23	1507AS	1507AS	1	ELK	3x25	50143	2180.1304347826085"
"11	1507AT	1507BA	2	ELK	3x25	3633	330.27272727272725"
"15	1507BB	1507BB	1	ELK	3x25	3947	263.1333333333333"
"18	1507BD	1507BD	1	ELK	3x25	8796	488.6666666666667"
"34	1507BE	1507BE	1	ELK	1x25	3461	101.79411764705883"
"14	1507BG	1507BG	1	ELK	1x25	8597	614.0714285714286"
"21	1507BH	1507BH	1	ELK	3x25	14620	696.1904761904761"
"19	1507BJ	1507BJ	1	ELK	1x25	7455	392.36842105263156"
"29	1507BK	1507BK	1	ELK	1x25	18158	626.1379310344828"
"15	1507BL	1507BL	1	ELK	1x25	8454	563.6"
"19	1507BM	1507BM	1	ELK	1x25	16218	853.578947368421"
"22	1507BN	1507BN	1	ELK	3x25	30302	1377.3636363636363"
"52	1507BP	1507BR	2	ELK	3x25	4113	79.09615384615384"
"16	1507BS	1507BS	1	ELK	3x25	4073	254.5625"
"15	1507BT	1507BV	2	ELK	1x25	5011	334.06666666666666"
"20	1507BW	1507BW	1	ELK	3x25	24333	1216.65"
"16	1507BX	1507BX	1	ELK	1x35	14076	879.75"
"36	1507BZ	1507BZ	1	ELK	3x25	10244	284.55555555555554"
"12	1507CA	1507CA	1	ELK	3x35	0	0.0"
"34	1507CB	1507CC	2	ELK	3x25	50345	1480.735294117647"
"10	1507CD	1507CE	2	ELK	3x80	51201	5120.1"
"21	1507CG	1507CG	1	ELK	3x25	46029	2191.8571428571427"
"10	1507CH	1507CJ	2	ELK	3x25	8051	805.1"
"10	1507CK	1507CK	1	ELK	3x25	14114	1411.4"
"20	1507CL	1507CL	1	ELK	1x25	4746	237.3"
"14	1507CM	1507CM	1	ELK	1x35	1351	96.5"
"23	1507CN	1507CN	1	ELK	1x25	26173	1137.9565217391305"
"23	1507CP	1507CP	1	ELK	1x25	14911	648.304347826087"
"19	1507CR	1507CR	1	ELK	1x25	23237	1223.0"
"25	1507CS	1507CS	1	ELK	1x25	20797	831.88"
"15	1507CT	1507CT	1	ELK	1x25	3179	211.93333333333334"
"19	1507CV	1507CV	1	ELK	1x25	4669	245.73684210526315"
"24	1507CW	1507CW	1	ELK	1x25	2219	92.45833333333333"
"25	1507CX	1507CX	1	ELK	1x25	4246	169.84"
"35	1507CZ	1507DA	2	ELK	3x25	6281	179.45714285714286"
"12	1507DB	1507DB	1	ELK	3x25	0	0.0"
"20	1507DC	1507DD	2	ELK	3x25	37345	1867.25"
"30	1507DE	1507DE	1	ELK	3x25	15031	501.03333333333336"
"47	1507DG	1507DG	1	ELK	3x25	42024	894.1276595744681"
"38	1507DH	1507DH	1	ELK	3x25	33523	882.1842105263158"
"24	1507DJ	1507DJ	1	ELK	3x25	6833	284.7083333333333"
"23	1507DK	1507DK	1	ELK	3x25	5522	240.08695652173913"
"16	1507DL	1507DP	2	ELK	3x25	36530	2283.125"
"45	1507DR	1507DR	1	ELK	3x25	0	0.0"
"23	1507DS	1507DT	2	ELK	3x25	58062	2524.4347826086955"
"118	1507EA	1507EA	1	ELK	3x25	420	3.559322033898305"
"360	1507EC	1507EC	1	ELK	3x25	18370	51.02777777777778"
"447	1507ED	1507ED	1	ELK	3x25	16962	37.946308724832214"
"106	1507EE	1507EG	2	ELK	1x35	6781	63.971698113207545"
"13	1507EH	1507EK	2	ELK	3x25	5032	387.0769230769231"
"20	1507EL	1507EL	1	ELK	3x25	6930	346.5"
"335	1507EM	1507EM	1	ELK	1x35	5411	16.15223880597015"
"17	1507EN	1507EN	1	ELK	3x25	3807	223.94117647058823"
"60	1507EP	1507EP	1	ELK	3x25	107718	1795.3"
"289	1507ER	1507ES	2	ELK	3x25	77982	269.83391003460207"
"17	1507HA	1507HA	1	ELK	1x25	0	0.0"
"24	1507HB	1507HB	1	ELK	1x25	0	0.0"
"28	1507HC	1507HC	1	ELK	1x25	0	0.0"
"24	1507HD	1507HD	1	ELK	1x25	0	0.0"
"21	1507HE	1507HE	1	ELK	1x25	0	0.0"
"17	1507HG	1507HG	1	ELK	1x25	0	0.0"
"18	1507HH	1507HH	1	ELK	1x25	0	0.0"
"15	1507HJ	1507HK	2	ELK	1x25	0	0.0"
"11	1507HM	1507HM	1	ELK	1x25	12297	1117.909090909091"
"22	1507HN	1507HN	1	ELK	1x35	9494	431.54545454545456"
"16	1507HP	1507HP	1	ELK	1x35	6918	432.375"
"28	1507HR	1507HR	1	ELK	1x35	13679	488.5357142857143"
"23	1507HS	1507HS	1	ELK	1x35	0	0.0"
"18	1507HT	1507HT	1	ELK	1x35	5102	283.44444444444446"
"10	1507HV	1507HV	1	ELK	1x35	7935	793.5"
"17	1507JA	1507JA	1	ELK	1x25	20122	1183.6470588235295"
"20	1507JB	1507JB	1	ELK	1x25	12561	628.05"
"23	1507JC	1507JC	1	ELK	1x35	24090	1047.391304347826"
"25	1507JD	1507JD	1	ELK	1x35	20987	839.48"
"25	1507JE	1507JG	2	ELK	1x35	27723	1108.92"
"18	1507JH	1507JH	1	ELK	1x35	9200	511.1111111111111"
"16	1507JJ	1507JJ	1	ELK	1x35	27830	1739.375"
"18	1507JK	1507JK	1	ELK	1x35	5025	279.1666666666667"
"21	1507JL	1507JL	1	ELK	1x25	22249	1059.4761904761904"
"25	1507JM	1507JM	1	ELK	1x25	12884	515.36"
"24	1507JN	1507JN	1	ELK	1x35	26706	1112.75"
"12	1507JP	1507JP	1	ELK	1x35	14648	1220.6666666666667"
"24	1507JR	1507JR	1	ELK	1x25	0	0.0"
"23	1507JS	1507JS	1	ELK	1x25	0	0.0"
"17	1507JT	1507JT	1	ELK	1x25	0	0.0"
"15	1507JV	1507JV	1	ELK	1x25	0	0.0"
"16	1507JW	1507JW	1	ELK	1x35	16586	1036.625"
"20	1507JX	1507JX	1	ELK	1x35	15665	783.25"
"19	1507JZ	1507JZ	1	ELK	1x35	26842	1412.7368421052631"
"21	1507KA	1507KA	1	ELK	1x35	21921	1043.857142857143"
"16	1507KB	1507KB	1	ELK	1x35	9118	569.875"
"30	1507KC	1507KD	2	ELK	1x25	32452	1081.7333333333333"
"16	1507KE	1507KE	1	ELK	1x25	12445	777.8125"
"29	1507KG	1507KG	1	ELK	1x25	24392	841.1034482758621"
"25	1507KH	1507KJ	2	ELK	1x25	32479	1299.16"
"16	1507KK	1507KK	1	ELK	1x25	15626	976.625"
"31	1507KL	1507KL	1	ELK	1x25	0	0.0"
"32	1507KM	1507KM	1	ELK	1x25	0	0.0"
"31	1507KN	1507KN	1	ELK	1x25	0	0.0"
"11	1507KP	1507KP	1	ELK	1x25	4902	445.6363636363636"
"25	1507KR	1507KR	1	ELK	1x25	0	0.0"
"26	1507KS	1507KS	1	ELK	1x25	13636	524.4615384615385"
"10	1507KT	1507KT	1	ELK	1x25	13049	1304.9"
"21	1507KV	1507KV	1	ELK	1x35	28495	1356.904761904762"
"24	1507KW	1507KW	1	ELK	1x25	9840	410.0"
"12	1507KX	1507KX	1	ELK	3x25	13870	1155.8333333333333"
"25	1507KZ	1507LA	2	ELK	1x25	22533	901.32"
"11	1507LB	1507LB	1	ELK	1x25	2718	247.0909090909091"
"11	1507LC	1507LC	1	ELK	3x25	17812	1619.2727272727273"
"28	1507LD	1507LD	1	ELK	3x25	35289	1260.3214285714287"
"19	1507LE	1507LE	1	ELK	3x25	32075	1688.157894736842"
"27	1507LG	1507LG	1	ELK	1x25	30668	1135.851851851852"
"15	1507LH	1507LH	1	ELK	3x25	34356	2290.4"
"14	1507LJ	1507LJ	1	ELK	1x25	16441	1174.357142857143"
"20	1507MA	1507MA	1	ELK	1x35	25620	1281.0"
"15	1507MB	1507MB	1	ELK	1x25	6107	407.1333333333333"
"28	1507MC	1507MD	2	ELK	1x25	13195	471.25"
"12	1507ME	1507ME	1	ELK	1x25	15873	1322.75"
"14	1507MG	1507MG	1	ELK	1x25	20258	1447.0"
"14	1507MH	1507MH	1	ELK	1x25	17159	1225.642857142857"
"15	1507MJ	1507MJ	1	ELK	3x25	21777	1451.8"
"21	1507MK	1507MK	1	ELK	1x35	20088	956.5714285714286"
"16	1507ML	1507ML	1	ELK	1x25	12590	786.875"
"15	1507NA	1507NA	1	ELK	1x35	36891	2459.4"
"16	1507NB	1507NB	1	ELK	1x25	51837	3239.8125"
"30	1507NC	1507NC	1	ELK	1x25	841	28.033333333333335"
"19	1507ND	1507ND	1	ELK	1x25	0	0.0"
"19	1507NE	1507NE	1	ELK	1x25	0	0.0"
"19	1507NG	1507NG	1	ELK	1x25	0	0.0"
"31	1507NH	1507NH	1	ELK	1x25	16066	518.258064516129"
"11	1507NJ	1507NJ	1	ELK	1x35	23054	2095.818181818182"
"15	1507NK	1507NK	1	ELK	3x25	47547	3169.8"
"12	1507NL	1507NL	1	ELK	3x25	25729	2144.0833333333335"
"26	1507PA	1507PA	1	ELK	1x25	16258	625.3076923076923"
"24	1507PB	1507PB	1	ELK	1x25	10440	435.0"
"22	1507PC	1507PC	1	ELK	1x25	20618	937.1818181818181"
"12	1507PD	1507PD	1	ELK	3x25	28246	2353.8333333333335"
"17	1507PE	1507PE	1	ELK	1x25	11291	664.1764705882352"
"24	1507PG	1507PG	1	ELK	1x25	30605	1275.2083333333333"
"24	1507PH	1507PH	1	ELK	1x25	14103	587.625"
"12	1507PJ	1507PJ	1	ELK	1x25	14411	1200.9166666666667"
"23	1507PK	1507PK	1	ELK	1x25	0	0.0"
"24	1507PL	1507PL	1	ELK	1x25	9350	389.5833333333333"
"24	1507PM	1507PM	1	ELK	1x25	22997	958.2083333333334"
"22	1507PN	1507PN	1	ELK	1x25	9463	430.1363636363636"
"25	1507PP	1507PP	1	ELK	1x25	19808	792.32"
"14	1507PR	1507PR	1	ELK	1x25	3830	273.57142857142856"
"15	1507PS	1507PS	1	ELK	1x35	5526	368.4"
"10	1507PT	1507PT	1	ELK	1x25	1384	138.4"
"23	1507PV	1507PV	1	ELK	1x25	0	0.0"
"24	1507PW	1507PW	1	ELK	1x25	4954	206.41666666666666"
"12	1507PX	1507PX	1	ELK	1x25	3556	296.3333333333333"
"16	1507PZ	1507PZ	1	ELK	1x35	16284	1017.75"
"16	1507RA	1507RA	1	ELK	1x25	30722	1920.125"
"21	1507RB	1507RB	1	ELK	1x25	17009	809.952380952381"
"28	1507RC	1507RC	1	ELK	1x25	46613	1664.75"
"18	1507RV	1507RV	1	ELK	3x25	21878	1215.4444444444443"
"30	1507RW	1507RW	1	ELK	1x35	29637	987.9"
"18	1507RX	1507RX	1	ELK	3x25	32801	1822.2777777777778"
"16	1507RZ	1507RZ	1	ELK	1x35	6087	380.4375"
"29	1507SB	1507SB	1	ELK	1x35	37377	1288.8620689655172"
"20	1507SC	1507SC	1	ELK	1x35	28549	1427.45"
"15	1507SE	1507SE	1	ELK	1x35	6587	439.1333333333333"
"15	1507SG	1507SG	1	ELK	1x25	14820	988.0"
"27	1507SH	1507SH	1	ELK	1x35	48989	1814.4074074074074"
"32	1507SJ	1507SJ	1	ELK	1x35	33566	1048.9375"
"12	1507SK	1507SK	1	ELK	1x35	10690	890.8333333333334"
"19	1507SL	1507SL	1	ELK	1x35	16959	892.578947368421"
"14	1507SM	1507SM	1	ELK	1x35	17694	1263.857142857143"
"15	1507SN	1507SN	1	ELK	1x35	6200	413.3333333333333"
"30	1507SP	1507SP	1	ELK	1x35	24383	812.7666666666667"
"17	1507SR	1507SR	1	ELK	1x35	6290	370.0"
"18	1507ST	1507SV	2	ELK	1x35	19199	1066.611111111111"
"33	1507SW	1507SW	1	ELK	1x35	19769	599.060606060606"
"21	1507SX	1507SX	1	ELK	1x35	8687	413.6666666666667"
"12	1507SZ	1507SZ	1	ELK	1x35	3880	323.3333333333333"
"30	1507TA	1507TA	1	ELK	3x25	40956	1365.2"
"33	1507TB	1507TB	1	ELK	1x35	0	0.0"
"27	1507TC	1507TC	1	ELK	1x35	36113	1337.5185185185185"
"34	1507TD	1507TD	1	ELK	1x35	0	0.0"
"23	1507TE	1507TE	1	ELK	1x35	50490	2195.217391304348"
"23	1507TG	1507TG	1	ELK	3x25	39329	1709.9565217391305"
"19	1507TH	1507TH	1	ELK	1x25	21365	1124.4736842105262"
"11	1507TJ	1507TJ	1	ELK	1x35	9921	901.9090909090909"
"24	1507TK	1507TK	1	ELK	1x35	21919	913.2916666666666"
"24	1507TL	1507TL	1	ELK	1x35	8445	351.875"
"24	1507TM	1507TM	1	ELK	1x35	22727	946.9583333333334"
"24	1507TN	1507TN	1	ELK	1x35	15225	634.375"
"25	1507TP	1507TP	1	ELK	1x25	13360	534.4"
"19	1507TR	1507TR	1	ELK	3x25	58132	3059.5789473684213"
"13	1507TS	1507TS	1	ELK	3x25	13045	1003.4615384615385"
"12	1507TT	1507TT	1	ELK	3x25	16215	1351.25"
"25	1507TV	1507TV	1	ELK	1x35	24960	998.4"
"14	1507TW	1507TW	1	ELK	3x25	23557	1682.642857142857"
"22	1507TX	1507TX	1	ELK	1x35	16228	737.6363636363636"
"25	1507TZ	1507VA	2	ELK	1x25	12424	496.96"
"24	1507VB	1507VB	1	ELK	1x35	18999	791.625"
"24	1507VC	1507VC	1	ELK	1x35	11433	476.375"
"34	1507VD	1507VD	1	ELK	1x35	0	0.0"
"15	1507VE	1507VE	1	ELK	1x35	17949	1196.6"
"28	1507VG	1507VG	1	ELK	1x35	14071	502.5357142857143"
"22	1507VH	1507VH	1	ELK	1x35	19542	888.2727272727273"
"14	1507VJ	1507VJ	1	ELK	3x25	12696	906.8571428571429"
"34	1507VK	1507VK	1	ELK	3x25	56084	1649.5294117647059"
"14	1507VL	1507VL	1	ELK	1x35	11899	849.9285714285714"
"20	1507VM	1507VM	1	ELK	1x35	26403	1320.15"
"17	1507VN	1507VN	1	ELK	3x25	31462	1850.7058823529412"
"33	1507VP	1507VP	1	ELK	1x35	31738	961.7575757575758"
"11	1507VR	1507VR	1	ELK	1x35	6220	565.4545454545455"
"29	1507VS	1507VS	1	ELK	3x25	41270	1423.103448275862"
"33	1507VT	1507WB	2	ELK	1x35	31832	964.6060606060606"
"30	1507WD	1507WD	1	ELK	1x35	17056	568.5333333333333"
"17	1507WE	1507WE	1	ELK	1x35	12697	746.8823529411765"
"25	1507WG	1507WH	2	ELK	1x35	37994	1519.76"
"19	1507WJ	1507WJ	1	ELK	1x35	12498	657.7894736842105"
"20	1507WK	1507WK	1	ELK	1x35	8042	402.1"
"24	1507WL	1507WL	1	ELK	1x35	19605	816.875"
"29	1507WN	1507WN	1	ELK	1x35	14641	504.86206896551727"
"10	1507WP	1507WP	1	ELK	1x25	4243	424.3"
"28	1507WR	1507WR	1	ELK	1x35	18932	676.1428571428571"
"26	1507WS	1507WS	1	ELK	3x25	46634	1793.6153846153845"
"16	1507WT	1507WT	1	ELK	1x35	19613	1225.8125"
"17	1507WV	1507WV	1	ELK	1x35	12455	732.6470588235294"
"22	1507WX	1507WX	1	ELK	1x35	16638	756.2727272727273"
"18	1507XA	1507XA	1	ELK	1x35	3738	207.66666666666666"
"22	1507XB	1507XB	1	ELK	1x35	13454	611.5454545454545"
"12	1507XC	1507XC	1	ELK	1x35	6544	545.3333333333334"
"27	1507XD	1507XD	1	ELK	1x35	27357	1013.2222222222222"
"15	1507XE	1507XE	1	ELK	1x35	13795	919.6666666666666"
"14	1507XG	1507XG	1	ELK	1x35	14660	1047.142857142857"
"14	1507XH	1507XH	1	ELK	1x35	14889	1063.5"
"12	1507XJ	1507XJ	1	ELK	1x35	7897	658.0833333333334"
"24	1507XK	1507XK	1	ELK	1x35	20849	868.7083333333334"
"20	1507XL	1507XL	1	ELK	1x35	36207	1810.35"
"26	1507XM	1507XM	1	ELK	1x35	33554	1290.5384615384614"
"24	1507XN	1507XN	1	ELK	1x35	21559	898.2916666666666"
"14	1507XP	1507XP	1	ELK	1x35	9409	672.0714285714286"
"33	1507XR	1507XR	1	ELK	1x35	30841	934.5757575757576"
"10	1507XS	1507XS	1	ELK	1x35	8594	859.4"
"16	1507XT	1507XT	1	ELK	1x35	19992	1249.5"
"27	1507XV	1507XV	1	ELK	1x35	28899	1070.3333333333333"
"11	1507XW	1507XW	1	ELK	1x35	14058	1278.0"
"18	1507XX	1507XX	1	ELK	1x35	2144	119.11111111111111"
"27	1507XZ	1507XZ	1	ELK	1x35	16407	607.6666666666666"
"21	1508AA	1508AA	1	ELK	1x25	7308	348.0"
"24	1508AB	1508AB	1	ELK	1x25	0	0.0"
"24	1508AC	1508AC	1	ELK	1x25	0	0.0"
"26	1508AD	1508AD	1	ELK	1x25	0	0.0"
"24	1508AE	1508AE	1	ELK	1x25	0	0.0"
"24	1508AG	1508AG	1	ELK	1x25	0	0.0"
"24	1508AH	1508AH	1	ELK	1x25	0	0.0"
"14	1508AJ	1508AJ	1	ELK	1x35	1848	132.0"
"19	1508AK	1508AK	1	ELK	1x35	4754	250.21052631578948"
"18	1508AL	1508AL	1	ELK	1x35	3501	194.5"
"25	1508AM	1508AM	1	ELK	1x25	0	0.0"
"18	1508AN	1508AN	1	ELK	1x25	0	0.0"
"24	1508AP	1508AP	1	ELK	1x25	0	0.0"
"18	1508AR	1508AR	1	ELK	1x25	0	0.0"
"12	1508AS	1508AS	1	ELK	1x35	4796	399.6666666666667"
"22	1508AT	1508AT	1	ELK	1x35	20243	920.1363636363636"
"11	1508AV	1508AV	1	ELK	1x35	3310	300.90909090909093"
"21	1508AW	1508AW	1	ELK	1x35	11375	541.6666666666666"
"10	1508AX	1508AX	1	ELK	3x25	5379	537.9"
"21	1508BA	1508BA	1	ELK	1x35	22512	1072.0"
"30	1508BB	1508BB	1	ELK	1x35	39792	1326.4"
"20	1508BC	1508BC	1	ELK	1x35	12527	626.35"
"10	1508BD	1508BD	1	ELK	1x35	8031	803.1"
"11	1508BE	1508BE	1	ELK	1x25	9330	848.1818181818181"
"42	1508BG	1508BG	1	ELK	1x25	0	0.0"
"42	1508BH	1508BH	1	ELK	1x25	0	0.0"
"42	1508BJ	1508BJ	1	ELK	1x25	0	0.0"
"15	1508BK	1508BK	1	ELK	1x25	6508	433.8666666666667"
"14	1508BL	1508BL	1	ELK	3x25	13039	931.3571428571429"
"12	1508BM	1508BM	1	ELK	1x25	17974	1497.8333333333333"
"37	1508BN	1508BN	1	ELK	1x25	0	0.0"
"26	1508BP	1508BP	1	ELK	1x25	0	0.0"
"24	1508BR	1508BR	1	ELK	1x25	0	0.0"
"24	1508BS	1508BS	1	ELK	1x25	0	0.0"
"20	1508BT	1508BT	1	ELK	1x25	0	0.0"
"23	1508BV	1508BW	2	ELK	1x25	7476	325.04347826086956"
"19	1508BX	1508BX	1	ELK	1x25	0	0.0"
"15	1508CA	1508CA	1	ELK	1x25	3811	254.06666666666666"
"14	1508CB	1508CB	1	ELK	3x25	7861	561.5"
"25	1508CC	1508CC	1	ELK	1x35	12661	506.44"
"14	1508CD	1508CD	1	ELK	1x35	3318	237.0"
"15	1508CE	1508CE	1	ELK	1x35	10801	720.0666666666667"
"15	1508CG	1508CG	1	ELK	1x35	10874	724.9333333333333"
"19	1508CH	1508CH	1	ELK	1x25	9932	522.7368421052631"
"25	1508CJ	1508CJ	1	ELK	1x35	5932	237.28"
"28	1508CK	1508CK	1	ELK	3x25	0	0.0"
"21	1508CL	1508CL	1	ELK	1x25	0	0.0"
"24	1508CM	1508CM	1	ELK	1x25	4035	168.125"
"15	1508CN	1508CN	1	ELK	1x25	1309	87.26666666666667"
"21	1508CP	1508CP	1	ELK	1x35	18878	898.952380952381"
"19	1508CR	1508CR	1	ELK	1x35	4103	215.94736842105263"
"24	1508CS	1508CS	1	ELK	1x25	11266	469.4166666666667"
"17	1508CT	1508CT	1	ELK	1x25	2471	145.35294117647058"
"21	1508CV	1508CV	1	ELK	1x35	22864	1088.7619047619048"
"21	1508CW	1508CW	1	ELK	1x35	21206	1009.8095238095239"
"15	1508CX	1508CX	1	ELK	1x25	0	0.0"
"30	1508CZ	1508CZ	1	ELK	1x25	22514	750.4666666666667"
"22	1508DX	1508DZ	2	ELK	3x80	2610	118.63636363636364"
"13	1508EA	1508EB	2	ELK	3x25	249	19.153846153846153"
"172	1508EC	1508EC	1	ELK	3x25	16868	98.06976744186046"
"19	1508ED	1508EE	2	ELK	3x25	12219	643.1052631578947"
"22	1508EG	1508EH	2	ELK	3x25	14332	651.4545454545455"
"108	1508EJ	1508EJ	1	ELK	3x25	1945	18.00925925925926"
"10	1508EK	1508EK	1	ELK	1x6	23747	2374.7"
"40	1508EL	1508EL	1	ELK	3x25	4619	115.475"
"72	1508EM	1508EN	2	ELK	3x25	42644	592.2777777777778"
"18	1508EP	1508ER	2	ELK	1x25	7903	439.05555555555554"
"25	1508ES	1508ES	1	ELK	1x25	4052	162.08"
"14	1508ET	1508ET	1	ELK	3x25	1767	126.21428571428571"
"16	1508EV	1508EV	1	ELK	1x25	5771	360.6875"
"25	1508EW	1508EX	2	ELK	1x25	2261	90.44"
"16	1508EZ	1508GA	2	ELK	1x25	19235	1202.1875"
"10	1508GB	1508GB	1	ELK	1x25	3188	318.8"
"20	1508GC	1508GD	2	ELK	3x25	7016	350.8"
"19	1508GE	1508VA	2	ELK	3x25	9889	520.4736842105264"
"14	1508VB	1508VB	1	ELK	3x25	17858	1275.5714285714287"
"175	1508VC	1508VC	1	ELK	3x25	49861	284.92"
"29	1508VE	1508VE	1	ELK	3x25	18464	636.6896551724138"
"215	1508VG	1508VG	1	ELK	3x25	80161	372.84186046511627"
"20	1508WB	1508WB	1	ELK	1x25	0	0.0"
"13	1508WC	1508WC	1	ELK	1x25	0	0.0"
"17	1508WD	1508WD	1	ELK	1x25	0	0.0"
"24	1508WE	1508WE	1	ELK	1x25	0	0.0"
"17	1508WG	1508WG	1	ELK	1x25	0	0.0"
"24	1508WH	1508WH	1	ELK	1x25	0	0.0"
"17	1508WJ	1508WJ	1	ELK	1x25	0	0.0"
"25	1508WK	1508WK	1	ELK	1x25	0	0.0"
"17	1508WL	1508WL	1	ELK	1x25	0	0.0"
"24	1508WN	1508WN	1	ELK	1x25	0	0.0"
"27	1508WP	1508WP	1	ELK	1x25	17409	644.7777777777778"
"19	1508WR	1508WR	1	ELK	1x25	13636	717.6842105263158"
"43	1508WS	1508WS	1	ELK	1x25	0	0.0"
"18	1508WT	1508WT	1	ELK	1x25	14058	781.0"
"27	1508WV	1508WV	1	ELK	1x25	34842	1290.4444444444443"
"85	1508XA	1508XB	2	ELK	1x25	75	0.8823529411764706"
"22	1508XC	1508XC	1	ELK	1x25	4803	218.3181818181818"
"12	1508XD	1508XD	1	ELK	1x25	545	45.416666666666664"
"30	1508XE	1508XE	1	ELK	1x25	0	0.0"
"25	1508XG	1508XG	1	ELK	1x25	0	0.0"
"27	1508XH	1508XH	1	ELK	1x25	0	0.0"
"26	1508XJ	1508XJ	1	ELK	1x25	0	0.0"
"34	1508XK	1508XK	1	ELK	1x25	0	0.0"
"25	1508XL	1508XL	1	ELK	1x25	0	0.0"
"25	1508XM	1508XM	1	ELK	1x25	0	0.0"
"12	1508XN	1508XN	1	ELK	1x25	541	45.083333333333336"
"10	1508XR	1508XR	1	ELK	3x25	0	0.0"
"25	1508XS	1508XS	1	ELK	3x25	0	0.0"
"21	1508XT	1508XV	2	ELK	1x35	1216	57.904761904761905"
