rank,PC4,municipality,demand_dso_kwh,connections,demand_dso_gwh,li_feedin_kwh,li_feedin_gwh,st_feedin_kwh,st_feedin_gwh,solar_park_gwh,wind_gwh,biz_kwh,biz_gwh,total_feedin_gwh,total_supply_gwh,demand_total_gwh,net_balance_gwh,supply_ratio_pct,business_park,balance_class,slope_kwh_yr,growth_rate_pct_yr,significant,deficit_abs,demand_per_conn,has_biz_park,industrial_proxy_gwh,demand_synthetic_gwh,congestion_status,congestion_score,net_balance_p3_gwh,composite_siting,composite_siting_v1_proxy_excl
18,3891,Ede,10682766.0,2762.0,10.682766,2607235.0,2.607235,0.0,0.0,0.0,0.0,766640.0,0.76664,2.607235,2.607235,11.449406000000002,-8.842171,22.771792702608327,De Vallei Ede,severe_deficit,-498641.6,-4.67,True,8.842171,0.0041453316437364,1.0,0.0,11.449406000000002,RED,1.0,-8.842171,0.5175,0.648
19,6714,Ede,10080054.0,3638.0,10.080054,1610238.0,1.610238,0.0,0.0,0.0,0.0,45850.0,0.04585,1.610238,1.610238,10.125904,-8.515666,15.902165377036953,,severe_deficit,-545204.9,-5.41,False,8.515666,0.0027833710830126,0.0,0.0,10.125904,RED,1.0,-8.515666,0.5169,0.6425
20,3842,Ede,10167906.0,3339.0,10.167906,2041097.0,2.041097,0.0,0.0,0.0,0.0,290380.0,0.29038,2.041097,2.041097,10.458286,-8.417189,19.516553668545686,,severe_deficit,-793587.7,-7.8,False,8.417189,0.0031321611260856,0.0,0.0,10.458286,RED,1.0,-8.417189,0.5167,0.6409
21,6732,Veenendaal,9209961.0,1308.0,9.209961,2377043.0,2.377043,0.0,0.0,0.0,0.0,1289500.0,1.2895,2.377043,2.377043,10.499461,-8.122418,22.63966693147391,,severe_deficit,-558943.1,-6.07,False,8.122418,0.0080271108562691,0.0,0.0,10.499461,RED,1.0,-8.122418,0.5161,0.6359
22,3843,Ede,9248097.0,2913.0,9.248097,2021402.0,2.021402,0.0,0.0,0.0,0.0,333240.0,0.33324,2.021402,2.021402,9.581337,-7.559934999999999,21.09728527448727,,severe_deficit,-374033.0,-4.04,False,7.559934999999999,0.0032891647785787,0.0,0.0,9.581337,RED,1.0,-7.559934999999999,0.515,0.6265
23,6715,Ede,9641543.0,3113.0,9.641543,2308698.0,2.308698,0.0,0.0,0.0,0.0,95900.0,0.0959,2.308698,2.308698,9.737443,-7.428745000000001,23.70948923654804,,severe_deficit,-339028.3,-3.52,True,7.428745000000001,0.0031279932540957,0.0,0.0,9.737443,RED,1.0,-7.428745000000001,0.5147,0.6242
24,3907,Veenendaal,10014118.0,2737.0,10.014118,3758172.0,3.758172,0.0,0.0,0.0,0.0,63760.0,0.06376,3.758172,3.758172,10.077878,-6.319706,37.29130279211556,,high_deficit,1318460.0,13.17,False,6.319706,0.0036820891487029,0.0,0.0,10.077878,RED,1.0,-6.319706,0.5125,0.6056
25,3893,Ede,9451715.0,2489.0,9.451715,3394506.0,3.394506,0.0,0.0,0.0,0.0,111550.0,0.11155,3.394506,3.394506,9.563265,-6.168759,35.49526233979713,,high_deficit,-281869.4,-2.98,False,6.168759,0.0038422117316191,0.0,0.0,9.563265,RED,1.0,-6.168759,0.5122,0.6031
26,3849,Ede,7845750.0,1479.0,7.84575,2042675.0,2.042675,0.0,0.0,0.0,0.0,138210.0,0.13821,2.042675,2.042675,7.98396,-5.941285,25.58473489346139,,high_deficit,-165653.7,-2.11,False,5.941285,0.0053982150101419,0.0,0.0,7.98396,RED,1.0,-5.941285,0.5118,0.5993
27,6731,Veenendaal,7098205.0,1014.0,7.098205,1677460.0,1.67746,0.0,0.0,0.0,0.0,428500.0,0.4285,1.67746,1.67746,7.526705,-5.849245,22.286777547412846,,severe_deficit,-335408.4,-4.73,False,5.849245,0.0074227859960552,0.0,0.0,7.526705,RED,1.0,-5.849245,0.5116,0.5977
28,6707,Ede,6721811.0,2685.0,6.721811,1201233.0,1.201233,0.0,0.0,0.0,0.0,143270.0,0.14327,1.201233,1.201233,6.865081,-5.663848,17.497725081466626,,severe_deficit,-288810.8,-4.3,True,5.663848,0.0025568271880819,0.0,0.0,6.865081,RED,1.0,-5.663848,0.5112,0.5946
29,6712,Ede,7214165.0,2168.0,7.214165,1835003.0,1.835003,0.0,0.0,0.0,0.0,113570.0,0.11357,1.835003,1.835003,7.327735,-5.492732,25.04188538477442,,high_deficit,-404454.0,-5.61,False,5.492732,0.0033799515682656,0.0,0.0,7.327735,RED,1.0,-5.492732,0.5109,0.5917
30,3894,Ede,8955886.0,2525.0,8.955886,3502518.0,3.502518,0.0,0.0,0.0,0.0,2120.0,0.00212,3.502518,3.502518,8.958006,-5.455487999999999,39.09930401922035,,high_deficit,-816017.4,-9.11,False,5.455487999999999,0.0035477251485148,0.0,0.0,8.958006,RED,1.0,-5.455487999999999,0.5108,0.5911
31,6702,Ede,6028157.0,1645.0,6.028157,1112256.0,1.112256,0.0,0.0,0.0,0.0,438270.0,0.43827,1.112256,1.112256,6.466427,-5.354171000000001,17.200472532976864,,severe_deficit,-241827.7,-4.01,False,5.354171000000001,0.0039309586626139,0.0,0.0,6.466427,RED,1.0,-5.354171000000001,0.5106,0.5894
32,3906,Veenendaal,9065194.25,2920.0,9.06519425,0.0,0.0,3785808.7,3.7858087,0.0,0.0,6300.0,0.0063,3.7858087,3.7858087,9.07149425,-5.285685549999999,41.73302209831638,,high_deficit,-132639.7,-1.46,True,5.285685549999999,0.0031066761130136,0.0,0.0,9.07149425,RED,1.0,-5.285685549999998,0.5105,0.5882
33,6733,Veenendaal,6861250.0,1074.0,6.86125,1851612.0,1.851612,0.0,0.0,0.0,0.0,306330.0,0.30633,1.851612,1.851612,7.16758,-5.315968,25.83315428638397,,high_deficit,-439612.8,-6.41,False,5.315968,0.0066737243947858,0.0,0.0,7.16758,RED,1.0,-5.315968,0.5105,0.5888
